forecast_timestamp,team,group,spi,global_o,global_d,sim_wins,sim_ties,sim_losses,sim_goal_diff,goals_scored,goals_against,group_1,group_2,group_3,group_4,make_round_of_16,make_quarters,make_semis,make_final,win_league,timestamp
2022-11-20 18:01:09 UTC,Canada,F,71.58583,1.94737,0.74608,0.83105,0.85265,1.3163,-1.0677,3.28782,4.35552,0.15299,0.21772,0.27846,0.35083,0.37071,0.11623,0.03852,0.01553,0.00571,2022-11-20 18:02:33 UTC
2022-11-20 18:01:09 UTC,South Korea,H,66.12313,1.73414,0.81094,0.82626,0.85897,1.31477,-1.1199,2.91974,4.03964,0.12068,0.23578,0.35213,0.29141,0.35646,0.10474,0.03649,0.01464,0.00503,2022-11-20 18:02:33 UTC
2022-11-20 18:01:09 UTC,Poland,C,68.28098,1.87603,0.83283,0.85361,0.83023,1.31616,-1.04933,3.15211,4.20144,0.12692,0.25473,0.319,0.29935,0.38165,0.13014,0.04943,0.01462,0.00436,2022-11-20 18:02:33 UTC
2022-11-20 18:01:09 UTC,Tunisia,D,65.85461,1.63339,0.74077,0.72813,0.86357,1.4083,-1.47405,2.62927,4.10332,0.0949,0.21263,0.34878,0.34369,0.30753,0.10829,0.0395,0.01117,0.00368,2022-11-20 18:02:33 UTC
2022-11-20 18:01:09 UTC,Iran,B,62.17412,1.51146,0.78563,0.75766,0.90805,1.33429,-1.19846,2.6296,3.82806,0.11616,0.22854,0.31042,0.34488,0.3447,0.12198,0.04149,0.01138,0.00348,2022-11-20 18:02:33 UTC
2022-11-20 18:01:09 UTC,Wales,B,65.58314,1.7128,0.81593,0.72036,0.87403,1.40561,-1.48277,2.6708,4.15357,0.1088,0.21509,0.29708,0.37903,0.32389,0.11387,0.03826,0.01053,0.00314,2022-11-20 18:02:33 UTC
2022-11-20 18:01:09 UTC,Cameroon,G,64.15924,1.65744,0.82883,0.51088,0.7233,1.76582,-2.99489,2.30284,5.29773,0.03886,0.1572,0.2911,0.51284,0.19606,0.05978,0.01866,0.0058,0.00166,2022-11-20 18:02:33 UTC
2022-11-20 18:01:09 UTC,Saudi Arabia,C,56.86592,1.50018,0.99118,0.5933,0.79294,1.61376,-2.2791,2.54625,4.82535,0.06912,0.17255,0.29373,0.4646,0.24167,0.06793,0.02088,0.00501,0.00137,2022-11-20 18:02:33 UTC
2022-11-20 18:01:09 UTC,Australia,D,60.83178,1.59388,0.91112,0.55169,0.79213,1.65618,-2.5051,2.35887,4.86397,0.06003,0.15452,0.30429,0.48116,0.21455,0.06521,0.02099,0.00469,0.00119,2022-11-20 18:02:33 UTC
2022-11-20 18:01:09 UTC,Ghana,H,58.62702,1.43347,0.85806,0.46687,0.80732,1.72581,-2.75214,1.99968,4.75182,0.04699,0.13104,0.28462,0.53735,0.17803,0.03511,0.00892,0.00263,0.00071,2022-11-20 18:02:33 UTC
2022-11-20 18:01:09 UTC,Costa Rica,E,55.45518,1.39816,0.95388,0.30354,0.61059,2.08587,-4.39561,1.81306,6.20867,0.01725,0.0682,0.22873,0.68582,0.08545,0.0233,0.00529,0.00148,0.00034,2022-11-20 18:02:33 UTC
2022-11-20 18:01:09 UTC,Qatar,A,47.27145,1.42811,1.34128,0.29148,0.41856,2.28996,-4.5625,1.82553,6.38803,0.00843,0.03822,0.18402,0.76933,0.04665,0.01215,0.0034,0.00076,0.00018,2022-11-20 18:02:33 UTC
2022-11-16 16:00:55 UTC,Brazil,G,93.54699,3.22213,0.29634,2.11474,0.59456,0.2907,4.46304,6.30163,1.83859,0.71639,0.19406,0.06846,0.02109,0.91045,0.68867,0.46381,0.32477,0.21668,2022-11-20 18:02:33 UTC
2022-11-16 16:00:55 UTC,Spain,E,89.50604,2.80203,0.38627,1.76309,0.69769,0.53922,2.88009,5.46797,2.58788,0.4684,0.33846,0.15418,0.03896,0.80686,0.55576,0.30279,0.18857,0.10663,2022-11-20 18:02:33 UTC
2022-11-16 16:00:55 UTC,France,D,87.70516,2.77362,0.47923,1.78422,0.73505,0.48073,2.96537,5.30739,2.34202,0.55358,0.27328,0.12328,0.04986,0.82686,0.54053,0.33135,0.17187,0.0875,2022-11-20 18:02:33 UTC
2022-11-16 16:00:55 UTC,Argentina,C,87.20776,2.62755,0.4317,1.83671,0.73199,0.4313,3.16936,5.33484,2.16548,0.59722,0.24273,0.11295,0.0471,0.83995,0.53091,0.32755,0.15944,0.08476,2022-11-20 18:02:33 UTC
